tension,debit,n_fichiers,baseline_mean,baseline_std,a1_mean,a1_std,mu1_mean,mu1_std,sigma1_mean,sigma1_std,a2_mean,a2_std,mu2_mean,mu2_std,sigma2_mean,sigma2_std,i_max_mean,i_max_std,x_i_max_mean,x_i_max_std,sigma_dom_mean,sigma_dom_std,largeur_mh_mean,largeur_mh_std,sigma_eff_mean,sigma_eff_std
5880.0,45.0,3,-0.9433951751294632,3.4142984939821743,23.5083941400926,24.910811673818532,33.03814247043775,3.0771531824812803,11.919205402747039,5.857150830690433,35.31509179074663,19.29975722514996,34.00947843671841,3.2073046605580053,12.327973413759652,12.99760433237678,57.86055175356811,4.573574520589537,33.827053462265205,3.337666488545692,4.940924524222678,0.20608565022062195,11.634988110624569,0.48529462013275787,8.9791741630495,1.3616438945970726
5880.0,60.0,3,0.4387417503317361,2.5374087822836415,25.21246793581177,23.172975361692952,27.43928172919587,4.3085378092415585,13.371881576110617,8.015654409122318,41.39144611184856,22.0462502427518,27.968272340716016,4.254593927680618,6.545748337472212,2.691363847139752,67.01856358700705,7.529054796456196,27.68389463154385,4.557900466534521,4.700406506347805,0.5105618228708546,11.068611460941705,1.2022812147238289,6.745652336462617,1.982042218052024
5920.0,15.0,3,-0.5091932314027113,1.4802282206951989,11.020284315465096,4.02087491729718,36.90633932866695,9.099622732775323,10.686431054815216,10.537691272680572,7.921642432126508,6.215420586902612,38.09939088066107,8.494590122852273,12.053295128701741,6.807934883458916,18.419978704573847,1.4418284617422266,37.659330888073804,7.982457421486625,4.692554495529872,0.18399587253523828,11.050121388473835,0.43327716884893847,9.721757048787591,1.5260444450392079
5920.0,30.0,3,1.8543834291988404,0.36803672936496273,31.40273315960125,19.589477270436237,30.495370979044818,2.454821393944193,7.68441204804281,5.319757915253719,22.6971117311649,23.618659980048243,31.48396261813596,2.429088104571372,10.347439081103671,4.6783065236589305,55.927406170897825,4.3021434230427635,30.912192953206628,1.8333424193334888,4.729110888542211,0.2411950918292905,11.136205115513322,0.5679710370026936,9.864824012139428,0.6281795488619042
5920.0,45.0,3,1.0267107333613124,0.3498979493614758,9.759130067859834,1.4202563597346178,32.02640349614563,2.1891700486101993,16.178223317737984,1.6840126691288178,47.29515412171588,1.8588788061351589,33.25679917068148,0.9963314722280873,4.8109340325268315,0.11672816371463787,58.038846974227056,2.2402632368914586,33.237745915305105,1.0049153706522385,4.8109340325268315,0.11672816371463787,11.32888389511576,0.2748738197348838,9.352209558575547,0.5369255306125431
5920.0,60.0,3,-0.8204537168886112,2.5627620715993293,30.614678018692278,28.676060752580614,26.35919864442286,1.3154276826086169,13.530725969210039,8.938045548284459,43.92274877753217,25.61179844101205,26.90000919736573,1.0386522775868934,8.154289163012734,5.911548645294182,73.70503828938861,5.804243829426126,26.639324219184175,1.2273051551499394,4.7134756101959425,0.1395419028370178,11.099386848653888,0.32859606992237034,5.83940281757344,2.8461832502346707
5960.0,15.0,3,0.82088931258687,0.8523789294231557,11.487942285421836,8.875039144536458,33.73009697359677,0.1511688632912857,8.375731888037107,8.254577484269326,11.232673081666741,6.519253868997134,35.00709798124362,1.2218644214466508,7.335146560844007,3.4686610580970254,23.188996746493142,4.9594088151123925,34.052906524397024,0.17406227783789857,5.2936535958867035,1.2989463385487152,12.465601599044172,3.0587848754340725,8.531429564782812,0.5003154561945495
5960.0,30.0,3,1.2212315111815484,0.1257889241467959,7.945265083447173,0.18899034064554396,36.69379518488504,4.464917123640546,16.393156345715923,1.9312166496637695,45.120696331744746,3.8216781308619336,37.77413485094204,3.896359420458464,4.928815929505912,0.08537909302601923,54.26727861049676,3.580634306237005,37.756474380349005,3.902145072814482,4.928815929505912,0.08537909302601923,11.606474549068373,0.2010523996842319,10.049337289161736,0.6238374090903092
5960.0,45.0,3,1.1283558336197892,0.9476476628439243,39.370680409376845,24.884252902520682,34.99307383781058,4.214995617506272,7.979937514990972,5.153543162230453,24.055471185865716,22.534373702836373,35.74022621380956,4.418377172273126,12.227695626567302,6.5144832627848706,64.53444101701817,2.061105693991986,35.452373013226634,4.703483162434403,4.957202646288123,0.08346424817013744,11.673320158759738,0.19654328463447726,8.791958260030675,1.4016920454277275
5960.0,60.0,3,-4.4592659646161374,6.1647798795848265,30.721927432600335,23.33231293140864,27.89667265758779,1.7200916612161044,19.4626699736161,13.31916561396409,41.11723554768455,26.536985197606086,28.337011965735684,2.026221287048914,8.54842474403119,5.81307483499587,67.37655954741318,2.031044846054946,28.300211181504945,2.056659675774612,5.051877399779841,0.25190951612799806,11.896262166040403,0.5932015781122573,5.618477101984802,3.8807885505386635
